  204CHOL   ROH 2313  10.286   6.340   3.577 -0.0654  0.0232  0.0346
  204CHOL    R1 2314  10.267   6.246   3.844 -0.1189  0.0371  0.0349
  204CHOL    R2 2315  10.442   6.327   4.044 -0.1305  0.0110  0.0523
  204CHOL    R3 2316  10.211   6.394   4.172 -0.1352  0.0595  0.0222
  204CHOL    R4 2317  10.397   6.336   4.387 -0.1419  0.1574  0.0500
  204CHOL    R5 2318  10.202   6.249   4.360 -0.1375  0.1407  0.0846
  204CHOL    C1 2319  10.155   6.403   4.706 -0.1528  0.2880  0.0204
  204CHOL    C2 2320   9.814   6.369   5.072  0.2344  0.2744 -0.0226
  205CHOL   ROH 2321   9.366   8.728   3.269  0.0157  0.1352  0.0801
  205CHOL    R1 2322   9.274   8.641   3.522  0.1302  0.0746  0.1044
  205CHOL    R2 2323   9.443   8.609   3.739  0.2109  0.1838  0.0771
  205CHOL    R3 2324   9.265   8.775   3.861  0.1278  0.0782  0.0977
  205CHOL    R4 2325   9.399   8.635   4.081  0.2915  0.2634  0.0812
  205CHOL    R5 2326   9.184   8.649   4.047  0.2844  0.0876  0.1579
  205CHOL    C1 2327   9.206   8.806   4.394  0.2604  0.2106  0.1029
  205CHOL    C2 2328   8.999   8.670   4.592 -0.0128  0.3816 -0.0362
  206CHOL   ROH 2329  12.230   3.481   3.861  0.1333 -0.0231  0.0746
  206CHOL    R1 2330  12.274   3.568   4.127  0.0657  0.0188  0.0752
  206CHOL    R2 2331  12.073   3.572   4.320  0.0283 -0.0228  0.0533
  206CHOL    R3 2332  12.251   3.423   4.460  0.0557  0.0415  0.0811
  206CHOL    R4 2333  12.077   3.538   4.663  0.1471  0.1655  0.0712
  206CHOL    R5 2334  12.293   3.549   4.658  0.1366  0.1403 -0.0058
  206CHOL    C1 2335  12.246   3.378   4.995  0.2419  0.3355  0.1077
  206CHOL    C2 2336  12.150   3.292   5.331  0.0893 -0.4771  0.1860
  207CHOL   ROH 2337  12.006   1.033   6.780 -0.0790 -0.0704  0.1789
  207CHOL    R1 2338  12.005   1.116   6.509 -0.0131  0.1328  0.2400
  207CHOL    R2 2339  12.198   1.034   6.327 -0.1014  0.0861  0.1836
  207CHOL    R3 2340  11.981   0.954   6.185 -0.1821  0.3961  0.1111
  207CHOL    R4 2341  12.188   0.989   5.984  0.1234 -0.3298  0.2158
  207CHOL    R5 2342  11.992   1.078   5.982  0.2953  0.1405 -0.0619
  207CHOL    C1 2343  11.978   0.888   5.652  0.1786 -0.2810  0.1665
  207CHOL    C2 2344  12.012   0.775   5.318  0.5402 -0.1127  0.1701
  208CHOL   ROH 2345  10.109   6.572   6.849 -0.1073  0.2210  0.1077
  208CHOL    R1 2346  10.166   6.458   6.596 -0.1910  0.0220  0.1695
  208CHOL    R2 2347  10.042   6.540   6.364 -0.1282 -0.0100  0.1013
  208CHOL    R3 2348  10.297   6.575   6.277 -0.0929 -0.2575  0.1072
  208CHOL    R4 2349  10.136   6.561   6.032 -0.0671 -0.1532  0.1122
  208CHOL    R5 2350  10.311   6.440   6.080 -0.1899 -0.2956  0.1402
  208CHOL    C1 2351  10.430   6.606   5.758  0.0017 -0.4691  0.1240
  208CHOL    C2 2352  10.480   6.676   5.471 -0.1902 -0.1189  0.2035
  209CHOL   ROH 2353   2.159   5.467   4.125 -0.2118  0.0535  0.1292
  209CHOL    R1 2354   2.125   5.328   4.369 -0.1673  0.0106  0.1141
  209CHOL    R2 2355   2.132   5.051   4.386 -0.2169 -0.0064  0.0605
  209CHOL    R3 2356   2.324   5.100   4.572 -0.1486 -0.0683  0.0027
  209CHOL    R4 2357   2.263   4.818   4.605 -0.3961  0.0192  0.1954
  209CHOL    R5 2358   2.261   4.969   4.761 -0.2373  0.1132  0.0935
  209CHOL    C1 2359   2.519   4.729   4.908 -0.4364 -0.0240  0.2197
  209CHOL    C2 2360   2.909   4.569   4.876  0.1072  0.2909  0.2344
  210CHOL   ROH 2361   5.452   1.425   3.477 -0.0484 -0.0560 -0.0434
  210CHOL    R1 2362   5.589   1.342   3.710 -0.2447 -0.0772  0.0682
  210CHOL    R2 2363   5.834   1.449   3.785 -0.1416 -0.3271  0.0943
  210CHOL    R3 2364   5.703   1.499   4.018 -0.1808 -0.0151  0.0150
  210CHOL    R4 2365   5.987   1.505   4.090 -0.1858 -0.2385  0.1012
  210CHOL    R5 2366   5.832   1.385   4.184 -0.3434 -0.0190  0.1484
  210CHOL    C1 2367   5.953   1.584   4.486 -0.2484  0.1060  0.0308
  210CHOL    C2 2368   5.949   1.997   4.609 -0.1130 -0.0769  0.5189
  211CHOL   ROH 2369   4.941   1.838   5.663  0.0532  0.0570 -0.0804
  211CHOL    R1 2370   4.885   1.805   5.387  0.1782 -0.0257 -0.0989
  211CHOL    R2 2371   4.696   1.958   5.253 -0.0614 -0.3276 -0.1418
  211CHOL    R3 2372   4.904   2.011   5.088 -0.0898  0.0370 -0.0751
  211CHOL    R4 2373   4.668   2.068   4.927 -0.1373 -0.3674 -0.1481
  211CHOL    R5 2374   4.831   1.937   4.873  0.1109 -0.0868 -0.0987
  211CHOL    C1 2375   4.848   2.182   4.582 -0.2081 -0.0483 -0.0890
  211CHOL    C2 2376   4.947   2.504   4.392  0.2854  0.1216 -0.1894
  212CHOL   ROH 2377   4.158   4.212   5.904  0.0223  0.1632 -0.1006
  212CHOL    R1 2378   4.241   4.087   5.663 -0.0636  0.1199 -0.1100
  212CHOL    R2 2379   4.128   4.147   5.418 -0.1074  0.1277 -0.0976
  212CHOL    R3 2380   4.387   4.193   5.347 -0.1107  0.0600 -0.1490
  212CHOL    R4 2381   4.260   4.092   5.103 -0.1445  0.0093 -0.0925
  212CHOL    R5 2382   4.440   4.014   5.197 -0.1533  0.0121 -0.0966
  212CHOL    C1 2383   4.579   4.103   4.853 -0.1693 -0.1232 -0.1378
  212CHOL    C2 2384   4.480   3.972   4.442  0.2693 -0.0648 -0.1052
  213CHOL   ROH 2385  12.320   5.112   4.035  0.0750  0.0024 -0.0152
  213CHOL    R1 2386  12.252   5.028   4.297  0.0618 -0.0729 -0.0410
  213CHOL    R2 2387  12.415   4.861   4.448  0.1537  0.0295 -0.0044
  213CHOL    R3 2388  12.395   5.061   4.630 -0.0516  0.0118 -0.0036
  213CHOL    R4 2389  12.540   4.849   4.769  0.1537  0.1873  0.0024
  213CHOL    R5 2390  12.360   4.949   4.838  0.0609 -0.0018 -0.0045
  213CHOL    C1 2391  12.594   5.030   5.128 -0.0391  0.2625  0.0070
  213CHOL    C2 2392  12.415   4.935   5.408  0.1118  0.3660 -0.3116
  214CHOL   ROH 2393   7.022   0.060   2.860  0.2254 -0.2215 -0.0656
  214CHOL    R1 2394   7.096  -0.023   3.121  0.2135 -0.1930 -0.0478
  214CHOL    R2 2395   7.332   0.057   3.243  0.1895 -0.1058  0.0027
  214CHOL    R3 2396   7.164   0.138   3.440  0.1080 -0.1495 -0.0558
  214CHOL    R4 2397   7.404   0.051   3.580  0.0496 -0.0127  0.0315
  214CHOL    R5 2398   7.201  -0.016   3.618  0.0948 -0.0782 -0.0218
  214CHOL    C1 2399   7.287   0.124   3.962 -0.1084  0.0006 -0.0067
